Pubchem ID, InChiKey
58,TYEYBOSBBBHJIV-UHFFFAOYSA-N
13712,MXHRCPNRJAMMIM-SHYZEUOFSA-N
13711,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
49,QHKABHOOEWYVLI-UHFFFAOYSA-N
87,DBXBTMSZEOQQDU-UHFFFAOYSA-N
111,JSJWCHRYRHKBBW-UHFFFAOYSA-N
