Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
37873,InChI=1S/C3H4O3/c1-2(4)3(5)6/h4H_1H2_(H_5_6),FEWFXBUNENSNBQ-UHFFFAOYSA-N,C=C(C(=O)O)O,C=C(C(=O)O)O
59807,InChI=1S/C7H14N2O2S/c1-6(10)12-5-4-9-7(11)2-3-8/h2-5_8H2_1H3_(H_9_11),SLVHIOYDKSBAGP-UHFFFAOYSA-N,CC(=O)SCCNC(=O)CCN,CC(=O)SCCNC(=O)CCN
62540,InChI=1S/C2H6O2/c1-4-2-3/h3H_2H2_1H3,VHWYCFISAQVCCP-UHFFFAOYSA-N,COCO,COCO
65052,InChI=1S/C7H7NO2/c8-7(10)5-1-3-6(9)4-2-5/h1-4_9H_(H2_8_10),QXSAKPUBHTZHKW-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)N)O,C1=CC(=CC=C1C(=O)N)O
65154,InChI=1S/C5H5N5O2/c6-4-8-2-1(3(11)10-4)7-5(12)9-2/h(H5_6_7_8_9_10_11_12),CLGFIVUFZRGQRP-UHFFFAOYSA-N,C12=C(NC(=NC1=O)N)NC(=O)N2,C12=C(NC(=NC1=O)N)NC(=O)N2
65270,InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3_11H_1-2_6H2_(H_7_10)(H_8_9),ZUKPVRWZDMRIEO-UHFFFAOYSA-N,C(C(C(=O)NCC(=O)O)N)S,C(C(C(=O)NCC(=O)O)N)S
66950,InChI=1S/C4H5N3O/c5-4-6-2-1-3(8)7-4/h1-2H_(H3_5_6_7_8),XQCZBXHVTFVIFE-UHFFFAOYSA-N,C1=CN=C(NC1=O)N,C1=CN=C(NC1=O)N
68294,InChI=1S/C3H9NO2/c4-3(1-5)2-6/h3_5-6H_1-2_4H2,KJJPLEZQSCZCKE-UHFFFAOYSA-N,C(C(CO)N)O,C(C(CO)N)O
69020,InChI=1S/C2H6N2O/c3-1-2(4)5/h1_3H2_(H2_4_5),BEBCJVAWIBVWNZ-UHFFFAOYSA-N,C(C(=O)N)N,C(C(=O)N)N
69021,InChI=1S/C2H5NO2/c3-2(5)1-4/h4H_1H2_(H2_3_5),TZGPACAKMCUCKX-UHFFFAOYSA-N,C(C(=O)N)O,C(C(=O)N)O
